Year,Levy,AWI,AWI Fit,CPI,CPI Fit,Levy Fit,CPI Projection,AWI Projection,10k,12.5k,15k,17.5k,20k,25k,CPI 10k,CPI 12.5k,CPI 15k,CPI 17.5k,CPI 20k,CPI 25k,AWI 10k,AWI 12.5k,AWI 15k,AWI 17.5k,AWI 20k,AWI 25k
2014,150429548.81,46481.52,46515.199017098865,236.736,236.20363330914594,163960358.1143721,,,,,,,,,,,,,,,,,,,,
2015,160987024.12,48098.63,47759.435073597895,237.017,241.3956627808263,171645717.9672539,,,,,,,,,,,,,,,,,,,,
2016,180389756.03,48642.15,49036.95322706784,240.007,246.7018190745947,179691315.84808075,,,,,,,,,,,,,,,,,,,,
2017,180131887.65,48642.15,50348.64374103395,245.12,252.1246108302001,188114037.29497474,188114037.29497474,188114037.29497474,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0,10000.0,12500.0,15000.0,17500.0,20000.0,25000.0
2018,,,51695.42069270065,,257.66660183019906,196931559.32662237,192249001.7406485,193145903.7145932,10468.732804762529,13085.91600595316,15703.099207143792,18320.282408334424,20937.465609525058,26171.83201190632,10219.811583714505,12774.76447964313,15329.717375571756,17884.67027150038,20439.62316742901,25549.52895928626,10267.490214551515,12834.362768189394,15401.235321827273,17968.107875465153,20534.98042910303,25668.725536378788
2019,,,53078.22260994318,,263.33041221206406,206162387.5415649,196474857.49466443,198312367.63703096,10959.436653751107,13699.295817188884,16439.15498062666,19179.014144064437,21918.873307502214,27398.591634377768,10444.454880662595,13055.568600828243,15666.682320993892,18277.79604115954,20888.90976132519,26111.137201656486,10542.13553059119,13177.669413238988,15813.203295886786,18448.737178534582,21084.27106118238,26355.338826477975
2020,,,54498.013125337864,,269.1187197069187,215825894.95645458,200793602.45326424,203617029.4137758,11473.141401884106,14341.426752355133,17209.71210282616,20077.997453297186,22946.282803768212,28682.853504710267,10674.036097497983,13342.54512187248,16011.054146246976,18679.56317062147,21348.072194995966,26685.09024374496,10824.12734008209,13530.159175102614,16236.191010123135,18942.222845143657,21648.25468016418,27060.318350205227
2021,,,55955.78164769067,,275.0342609055185,225942362.66478673,205207278.4287635,209063585.7021992,12010.92517675833,15013.656470947912,18016.387765137493,21019.119059327077,24021.85035351666,30027.312941895823,10908.663775419667,13635.829719274583,16362.9956631295,19090.161606984417,21817.327550839334,27271.659438549166,11113.662154535243,13892.077693169053,16670.493231802862,19448.908770436672,22227.324309070485,27784.155386338105
2022,,,57452.544051524936,,281.07983255205954,236533022.40144044,209717972.11488202,214655832.0416398,12573.916641347805,15717.395801684755,18860.874962021706,22004.354122358658,25147.83328269561,31434.79160336951,11148.448841488153,13935.56105186019,16722.673262232227,19509.785472604268,22296.897682976305,27871.12210372038,11410.941741952294,14263.677177440368,17116.41261292844,19969.148048416515,22821.88348390459,28527.354354880736
2023,,,58989.34338501223,,287.2582928664072,247620101.10235894,214327816.0732787,220397665.49839506,13163.297362762723,16454.121703453402,19744.946044144082,23035.770384834763,26326.594725525447,32908.243406906804,11393.504661068919,14241.880826336148,17090.25699160338,19938.63315687061,22787.009322137837,28483.761652672296,11716.173267431263,14645.216584289077,17574.259901146892,20503.30321800471,23432.346534862525,29290.433168578154
