PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Sale Date,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Location Factor,O'Hare Noise,Floodplain,Road Proximity,Condo Strata,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood,"Town and Neighborhood, SF Group Only"
16081030190000,205,30,5557,27,2,0,1,1,6,3,1,3,2,5,0,0,2,3,1,0,0,2,,2,3,1,2,2,7,0,0,0,1,0,1440,2,2,0,47230,284980,03/21/2019,1908013046,1,-87.77881,41.89383,812500,,0,415 N TAYLOR AVE,SF,1,103,1,,,,,,,0.8307987,0,0,0,,2019,89,45,1,3,1,1,10609,10.3,106.09,30880249,2073600,0,1,30,74.54529,10.14889,37.94733,2730,
16081020221048,299,30,25673,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,9100,118710,08/13/2019,1922534216,148000,-87.78045,41.89431,812500,,0,447 N LOMBARD AVE,NCHARS,,90,1,51,0.03,299,,,,0.806563,0,0,0,5,2019,91,46,3,8,2,1,8100,9,81,659102929,,1,,30,160.228,9.486833,,2730,1
16081020221039,299,30,25673,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6650,86730,03/19/2019,1907345026,1,-87.78045,41.89431,812500,,0,441 N LOMBARD AVE,NCHARS,,90,1,51,0.02,299,,,,0.8422774,0,0,0,5,2019,89,45,1,3,1,1,8100,9,81,659102929,,0,,30,160.228,9.486833,,2730,
16081020221028,299,30,25673,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,7040,91790,09/13/2019,1925608075,146000,-87.78045,41.89431,812500,,0,435 N LOMBARD AVE,NCHARS,,90,1,51,0.02,299,,,,0.7990313,0,0,0,5,2019,91,46,3,9,2,1,8100,9,81,659102929,,1,,30,160.228,9.486833,,2730,1
16081020221003,299,30,25673,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6780,88390,05/13/2019,1913312090,118000,-87.78045,41.89431,812500,,0,205 W CHICAGO AVE,NCHARS,,90,1,51,0.02,299,,,AV,0.8289149,0,0,0,5,2019,90,45,2,5,1,1,8100,9,81,659102929,,1,,30,160.228,9.486833,,2730,1
16081020211004,299,30,9662,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3590,81550,07/26/2019,1920755073,109000,-87.78116,41.89443,812500,,0,219 W CHICAGO AVE,NCHARS,,90,1,19,0.05,299,,,,0.8152924,0,0,0,6,2019,91,46,3,7,2,1,8100,9,81,93354244,,1,,30,98.29547,9.486833,,2730,1
16081020140000,203,30,8550,27,1,0,1,1,6,3,1,3,2,5,0,0,2,3,0,0,0,2,,2,0,0,0,0,7,0,0,0,3,0,1430,2,2,0,72670,279870,04/03/2019,1909349048,342000,-87.78043,41.89372,812500,,0,415 N LOMBARD AVE,SF,1,105,1,,,,,,,0.836485,0,0,0,,2019,90,45,2,4,1,1,11025,10.5,110.25,73102500,2044900,1,0,30,92.46621,10.24695,37.81534,2730,3
16081020090000,206,30,8550,27,2,0,4,1,9,4,1,3,2,5,0,1,2,1,1,2,2,2,,2,2,4,2,2,7,0,0,0,1,0,2964,2,2,0,72670,513260,08/05/2019,1921717076,1,-87.78113,41.89357,812500,,0,410 N HARVEY AVE,SF,2,104,1,,,,,,,0.8097984,0,0,0,,2019,91,46,3,8,2,1,10816,10.4,108.16,73102500,8785296,0,1,30,92.46621,10.19804,54.44263,2730,
16081010210000,203,30,8550,27,5,0,3,1,5,2,1,3,2,5,0,2,2,1,1,1,2,2,,2,3,1,2,2,7,0,0,0,1,0,1580,2,2,0,72670,311030,07/05/2019,1918633001,340000,-87.78204,41.89329,812500,,0,401 N HARVEY AVE,SF,1,79,1,,,,,,,0.8215229,0,0,0,,2019,91,46,3,7,2,1,6241,7.9,62.41,73102500,2496400,1,1,30,92.46621,8.888194,39.74921,2730,3
16081010140000,205,30,6412,27,2,0,1,1,7,4,1,3,2,5,1,0,2,3,1,2,2,2,,2,3,1,2,2,7,0,0,0,1,0,1584,2,2,0,54500,328960,07/08/2019,1918913146,395000,-87.78207,41.89424,812500,,0,429 N HARVEY AVE,SF,1,113,1,,,,,,,0.8240856,0,0,0,,2019,91,46,3,7,2,1,12769,11.3,127.69,41113744,2509056,1,1,30,80.07496,10.63015,39.7995,2730,3
