classification,Unnamed: 0,marketvalue,marketvaluepreviousyear,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,fullbaths,halfbaths,fireplaces,age,buildingsqft,assessmentpass,class,tax_year,nbhd,hd_sf,town_code,type_resd,apts,ext_wall,roof_cnst,rooms,beds,bsmt,bsmt_fin,heat,oheat,air,frpl,attic_type,attic_fnsh,hbath,tp_plan,tp_dsgn,cnst_qlty,renovation,site,gar1_size,gar1_cnst,gar1_att,gar1_area,gar2_size,gar2_cnst,gar2_att,gar2_area,porch,ot_impr,bldg_sf,repair_cnd,multi_code,ncu,pri_est_land,pri_est_bldg,doc_no,most_recent_sale_price,centroid_x,centroid_y,tractce,total_bldg_sf,multi_ind,fbath,age2,use_1,n_units,per_ass,condo_class_factor,multi_family_ind,large_lot,o_hare_noise,floodplain,near_major_road,total_units,condo_strata,age_squared,age_decade,age_decade_squared,lot_size_squared,improvement_size_squared,location_factor,garage_indicator,residential_share_of_building,pure_market_sale,pure_market_filter,neigborhood_code_mapping_,square_root_of_lot_size,square_root_of_age,square_root_of_improvement_size,town_and_neighborhood,multiplier,eavpreviousyear,combinedassessedvalueprevyear,homeownerexemption,estimatedtaxpreviousyear,estimatednewtax,assessmentpersqft
208,0,10901060.0,9582450.0,106692.0,420,297011,121136.0,968970.0,1090106.0,43.0,11.0,15.0,168.0,47825.0,22220.0,2288.0,22209.0,420.0,106692.0,297.0,22.0,0.0,20.0,11.0,109.0,48.0,13.0,21.0,11.0,55.0,11.0,21.0,21.0,10.0,11.0,22.0,19.0,21.0,0.0,22.0,39.0,19.0,19.0,20.0,77.0,0.0,0.0,0.0,29.0,0.0,47825.0,22.0,22.0,0.0,1096650.0,8271730.0,0.0,0.0,-965.7499742705112,460.8413764385266,8936804.0,0.0,0.0,43.0,135.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2199.0,13.5,21.99,1129379522.0,208679973.0,9.959291875411353,11.0,0.0,0.0,0.0,420.0,1072.5154304102573,36.654583722833294,724.9826672559682,30120.0,1.0999999999999999,2789355.3704999997,958245.0,11,339903.02230162994,295597.79209610005,222.87154208527903
209,0,80201250.0,72396990.0,1111654.0,3943,1647061,1166499.0,6853626.0,8020125.0,237.0,71.0,123.0,6481.0,355642.0,123220.0,12746.0,123159.0,3943.0,1111654.0,1647.0,128.0,0.0,133.0,104.0,665.0,321.0,97.0,155.0,88.0,302.0,43.0,109.0,125.0,52.0,50.0,116.0,110.0,120.0,0.0,121.0,209.0,84.0,86.0,93.0,426.0,1.0,1.0,1.0,149.0,2355.0,310442.0,123.0,133.0,0.0,10412890.0,61647960.0,15324420748.0,6019807.0,-5355.33496073206,2555.520570279431,49557922.0,140808.0,20.0,211.0,6373.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,0.0,706963.0,637.2999999999995,7069.63,24042615562.0,1795889896.0,53.602659206665884,51.0,0.0,5.0,5.0,3943.0,8059.379134943292,611.6908623851762,4217.4566032925195,168643.0,6.099999999999994,21074039.819099993,7239699.0,61,2596068.0914510256,2194002.9497312503,1174.9348012408211
210,0,45316440.0,39454790.0,305338.0,6607,5130190,403802.0,4127842.0,4531644.0,220.0,154.0,11.0,14771.0,223340.0,383800.0,42025.0,383610.0,6607.0,305338.0,5130.0,380.0,0.0,366.0,237.0,961.0,430.0,203.0,474.0,211.0,947.0,123.0,201.0,550.0,21.0,154.0,302.0,108.0,379.0,2.0,380.0,60.0,82.0,89.0,89.0,1330.0,0.0,0.0,0.0,558.0,64.0,223340.0,381.0,380.0,0.0,3619280.0,35931830.0,17218453747.0,1654002.0,-16681.974329245484,7959.388215034317,154382295.0,0.0,0.0,220.0,14201.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,190.0,0.0,1172429.0,1420.0999999999988,11724.289999999999,736854196.0,294629522.0,172.0137766205913,46.0,0.0,7.0,7.0,6607.0,7389.706291494578,1625.26694894187,6437.961091349195,835507.0,19.0,11484894.821100004,3945479.0,189,1217208.3570047456,1090562.1831413992,3511.949835734417
211,0,444164000.0,382719510.0,5649499.0,50559,24975952,5955372.0,38461028.0,44416400.0,2453.0,262.0,234.0,99415.0,2844167.0,1868500.0,195175.0,1867575.0,50559.0,5649499.0,24975.0,1989.0,2230.0,1891.0,1312.0,11407.0,5301.0,1033.0,2536.0,1513.0,4604.0,172.0,1078.0,2200.0,926.0,261.0,1617.0,1279.0,1834.0,1.0,1851.0,2383.0,919.0,1332.0,1356.0,6470.0,1.0,2.0,2.0,1899.0,26868.0,2820147.0,1851.0,1873.0,3.0,53716990.0,335887820.0,105490810013.0,15643371.0,-81116.99938521149,38700.66611457331,750939921.0,117964.0,26.0,2425.0,96585.0,1835.0,0.0,0.0,0.0,195175.0,0.0,0.0,0.0,99.0,925.0,0.0,10403017.0,9658.49999999997,104030.17,38828460269.0,9811515963.0,755.6032061471739,686.0,0.0,34.0,34.0,50559.0,71182.89108357421,9404.643914164248,50304.750399620985,3787359.0,92.49999999999902,111405822.16590004,38271951.0,4,14127868.199966073,12472788.930339988,13029.50900391273
212,0,63448970.0,51290730.0,573032.0,7054,3591407,633931.0,5710966.0,6344897.0,400.0,153.0,8.0,12688.0,602694.0,268660.0,27984.0,266508.0,6994.0,569598.0,3564.0,264.0,425.0,265.0,254.0,1167.0,479.0,344.0,381.0,199.0,660.0,62.0,135.0,266.0,187.0,146.0,260.0,259.0,259.0,4.0,260.0,185.0,98.0,104.0,107.0,924.0,0.0,0.0,0.0,384.0,1092.0,587429.0,259.0,268.0,156.0,5607580.0,45394740.0,17203533081.0,3447504.0,-11324.80019600048,5402.890569537088,104840934.0,48056.0,6.0,381.0,12055.0,263.0,0.0,0.0,0.0,27984.0,0.0,0.0,0.0,40.0,132.0,0.0,1159905.0,1205.5,11599.050000000005,3059473956.0,3504713517.0,105.9965912882456,57.0,0.0,5.0,5.0,6994.0,8469.204889497947,1249.6364354272566,8450.87898620198,679294.0,13.299999999999969,14930218.595700003,5129073.0,0,1894047.5310505014,1782293.3053594495,1383.3984754130809
213,0,28508840.0,24690570.0,83069.0,122,108022,85867.0,2765017.0,2850884.0,0.0,0.0,0.0,-4.0,0.0,8080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7187178.021299999,2469057.0,0,911765.403782118,800818.5897354,inf
218,0,1494530.0,1472600.0,21923.0,111,54002,22609.0,126844.0,149453.0,0.0,0.0,0.0,-2.0,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,428659.13399999996,147260.0,0,54379.69773924,41981.62418805,inf
234,0,9445780.0,7568090.0,143286.0,992,540020,157730.0,786848.0,944578.0,29.0,13.0,9.0,1124.0,28794.0,40400.0,4680.0,40380.0,992.0,143286.0,540.0,80.0,0.0,49.0,20.0,118.0,62.0,58.0,20.0,21.0,100.0,16.0,28.0,59.0,1.0,13.0,22.0,16.0,39.0,0.0,40.0,59.0,32.0,31.0,38.0,140.0,0.0,0.0,0.0,56.0,0.0,28794.0,39.0,40.0,0.0,1425150.0,5811040.0,3848968164.0,2.0,-1755.8439158482602,837.7551975389023,16253100.0,0.0,0.0,29.0,1064.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,57740.0,106.4,577.4000000000001,1102052994.0,43587518.0,17.361471498685713,19.0,0.0,0.0,0.0,992.0,1674.0224320418324,145.47461311606506,754.2510201473189,79292.0,2.0000000000000004,2202995.3181,756809.0,20,254099.98605416602,246033.70766930003,548.2605135189993
241,0,9331490.0,6680180.0,786159.0,13329,6210246,933149.0,0.0,933149.0,0.0,0.0,0.0,0.0,0.0,464593.0,54707.0,458313.0,13109.0,789236.0,6129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,0.0,0.0,6461810.0,0.0,5770214129.0,1275000.0,-19840.61438667857,9465.681394577427,183670867.0,0.0,0.0,0.0,2270.0,227.0,0.0,0.0,45400.0,0.0,0.0,0.0,0.0,19.0,227.0,227.0,22700.0,227.0,227.0,6147217482.0,0.0,188.09078518924065,0.0,0.0,3.0,3.0,13109.0,12138.615503185763,717.8370288582212,0.0,1014809.0,23.000000000000057,1944533.5962000024,668018.0,0,246683.53201393224,262123.28042564995,0.0
278,0,65756120.0,55277650.0,592781.0,3842,2430103,665427.0,5910185.0,6575612.0,252.0,74.0,73.0,1762.0,254890.0,181800.0,24235.0,177672.0,3682.0,585131.0,2376.0,179.0,0.0,150.0,99.0,693.0,347.0,112.0,173.0,91.0,432.0,82.0,147.0,221.0,43.0,71.0,172.0,158.0,171.0,0.0,173.0,271.0,118.0,143.0,153.0,609.0,0.0,0.0,0.0,257.0,173.0,244653.0,172.0,176.0,0.0,5947150.0,48267450.0,21117883153.0,6997402.0,-7725.64242645233,3686.2495865450032,71506538.0,6442.0,2.0,237.0,1627.0,88.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,88.0,1.0,66753.0,162.6999999999999,667.5299999999995,4323069797.0,716193903.0,75.98592174225566,81.0,0.0,9.0,9.0,3682.0,7076.791302251303,324.8903127568339,4586.494050426195,362782.0,8.999999999999984,16090771.138500001,5527765.0,90,1927101.2266301098,1760251.5756822,2105.4911198119134
288,0,27490.0,27490.0,2682.0,20,27001,2749.0,0.0,2749.0,0.0,0.0,0.0,-1.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,8002.0641,2749.0,0,1015.1418517259999,772.19918565,0.0
290,0,2198220.0,921780.0,100558.0,1795,1323091,210755.0,9067.0,219822.0,0.0,0.0,0.0,-49.0,0.0,98980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.899999999999999,268320.94020000007,92178.0,0,34039.19447377199,61748.40647070001,inf
295,0,177883890.0,170372840.0,665971.0,18587,12475026,891774.0,16896615.0,17788389.0,1004.0,357.0,220.0,11482.0,910143.0,933240.0,135700.0,928740.0,18547.0,663551.0,12420.0,1314.0,0.0,1072.0,774.0,2965.0,1277.0,885.0,1328.0,501.0,2300.0,438.0,678.0,1347.0,27.0,355.0,880.0,637.0,908.0,0.0,920.0,949.0,816.0,424.0,456.0,3220.0,0.0,0.0,0.0,1320.0,313.0,903623.0,908.0,924.0,0.0,8008390.0,160860130.0,49757062170.0,9328003.0,-40034.53995801861,19099.071125866154,370572148.0,37477.0,5.0,1002.0,10072.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,460.0,0.0,301862.0,1007.2000000000019,3018.620000000008,1618379241.0,1845301939.0,388.74323878556265,394.0,0.0,23.0,23.0,18547.0,16765.213386826614,2049.1454848903586,20282.66403542008,1333447.0,46.20000000000039,49593829.9956,17037284.0,462,5705380.073241822,4550961.378619649,8565.328190406248
297,0,16723220.0,5100010.0,43131.0,150,108018,133184.0,1539138.0,1672322.0,0.0,0.0,0.0,-4.0,0.0,8077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1484561.9109,510001.0,0,188331.52401677397,469758.3435957,inf
299,0,849705020.0,710069800.0,129125730.0,260430,152557037,4256063.0,80714439.0,84970502.0,0.0,0.0,0.0,372810.0,0.0,11412891.0,1684566.0,11375046.0,259830.0,130371264.0,152118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16902.0,0.0,0.0,0.0,0.0,0.0,38513350.0,654301840.0,700417207215.0,53554578.0,-492085.5856856528,234765.94721847092,4554632117.0,0.0,0.0,0.0,355451.0,5634.0,226772.0,290.999999999999,1684566.0,0.0,0.0,0.0,0.0,1745.0,227978.0,36389.0,27412105.0,35545.09999999907,274121.0500000038,4523331668630.0,0.0,4747.2285739121835,0.0,5581.246811799959,299.0,299.0,259830.0,810319.6672191215,43040.05804492043,0.0,16152030.0,565.0000000000599,206694218.0820009,71006980.0,0,26221228.50588249,23868371.207228716,inf
301,0,63300.0,36810.0,2500.0,70,27001,6250.0,80.0,6330.0,0.0,0.0,0.0,-1.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10715.0229,3681.0,0,1359.307805094,1778.1087105,inf
314,0,40339440.0,20444940.0,319326.0,1917,1026046,704753.0,3329191.0,4033944.0,0.0,0.0,0.0,-38.0,0.0,76760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800000000000002,5951317.584600001,2044494.0,0,754984.1487823562,1133142.3323964,inf
